name,supertypes,types,subtypes,colorIdentity,manaCost,convertedManaCost,edhrecRank,hasAlternativeDeckLimit,leadershipSkills,multiverseId,scryfallId,commander_legal,categories_trimmed
+2 Mace,,Artifact,Equipment,W,{1}{W},2,11735,0,,,e882c9f9-bf30-46b6-bedc-379d2c80e5cb,1,
Alrund's Epiphany,,Sorcery,,U,{5}{U}{U},7,,0,,,df2f81dc-2346-4bd9-aa3b-aaa2d3873415,1,
Abandon Reason,,Instant,,R,{2}{R},3,9217,0,,414412,18c0b3b3-bb62-42c5-9869-386af0540a9b,1,
Abandon the Post,,Sorcery,,R,{1}{R},2,12460,0,,,156cf728-cb3a-4c99-88aa-df18529a3c35,1,
Abandoned Sarcophagus,,Artifact,,,{3},3,6112,0,,,7dd7d787-b149-492c-bf13-3f5a01507701,1,
Abattoir Ghoul,,Creature,Zombie,B,{3}{B},4,15007,0,,409626,43297ddd-276f-4d2d-9d9c-937603d0e376,1,
Abbey Gargoyles,,Creature,Gargoyle,W,{2}{W}{W}{W},5,20754,0,,4098,29b5b70d-e5b9-4bc3-87b1-51dc6e5085a5,1,
Abbey Griffin,,Creature,Griffin,W,{3}{W},4,17003,0,,235595,bf87803b-e7c6-4122-add4-72e596167b7e,1,
Abbot of Keral Keep,,Creature,"Human,Monk",R,{1}{R},2,9515,0,,571433,cd94f624-9b35-4468-829f-106366f61c1a,1,cardraw
Aberrant Mind Sorcerer,,Creature,"Human,Elf,Shaman",U,{4}{U},5,8877,0,,527331,d9c6401a-e152-4acf-a2ca-75c484f296d5,1,
Aberrant Researcher // Perfected Form,,Creature,"Human,Insect",U,{3}{U},4,17570,0,,409790,b5c9649e-9ae5-4926-bf08-71ba23aa37f1,1,
Abhorrent Overlord,,Creature,Demon,B,{5}{B}{B},7,3015,0,,,c7e3cf6b-ac9b-40b1-a6f5-ee2193db59c0,1,
Abnormal Endurance,,Instant,,B,{1}{B},2,7131,0,,447221,de2de2bd-9ba7-4b6f-94c2-dafb2011a48e,1,
Abomination of Gudul,,Creature,Horror,"B,G,U",{3}{B}{G}{U},6,18614,0,,386463,7df9759e-1072-4a6a-be57-f73b15bf3847,1,cardraw
Abomination of Llanowar,Legendary,Creature,"Elf,Horror","B,G",{1}{B}{G},3,2833,0,1,497785,567dbc64-4d59-4bab-a551-08fc66c085fa,1,
Abrade,,Instant,,R,{1}{R},2,239,0,,489787,24da9431-7e52-44f5-bc18-2f2d8a4ca81e,1,removal
Abrupt Decay,,Instant,,"B,G",{B}{G},2,436,0,,456061,02517f12-cd8a-4d62-89cb-523b9b9295d5,1,removal
